SUPER FAMILY,FAMILY,SUB FAMILY,FAMILY COMMON NAME,SPECIES,COMMON NAME,DESCRIPTION,STATES,HOST PLANTS
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Irus,Frosted Elfin,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Sandia Irus,Frosted Elfin,"","NY",""
Hesperioidea,Hesperiidae,,Skippers,Erynnis Funeralis,Funereal Duskywing,"","MD, NJ, NC, RI, VA, WV","Indigofera, Lotus, Medicago, Nemophila, Robinia, Sesbania"
Papilionoidea,Nymphalidae,Satyridae,Browns,Cyllopsis Gemma,Gemmed Satyr,"","MD, NC, OH, VA, WV","Chasmanthium, Cynodon"
Papilionoidea,Nymphalidae,,Brush-footed,Euptychia Areolata,Georgia Satyr,"","",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Neonympha Areolata,Georgia Satyr,"","NJ, NC, VA","Andropogon, Carex, Scirpus"
Papilionoidea,Papilionidae,,Swallowtails,Heraclidea Cresphontes,Giant Swallowtail,"","",""
Papilionoidea,Papilionidae,,Swallowtails,Papilio Cresphontes,Giant Swallowtail,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Citrus, Dictamnus, Fraxinus, Humulus, Poncirus, Populus, Ptelea, Ruta, Zanthoxylum"
Papilionoidea,Nymphalidae,,Brush-footed,Anaea Andria,Goatweed Leafwing,"","NC, OH, VA, WV","Croton"
Hesperioidea,Hesperiidae,,Skippers,Autochton Cellus,Golden Banded-Skipper,"","CT, DE, MD, NJ, NY, NC, OH, PA, RI, VA, WV","Amphicarpaea, Pueraria, Stylisma"
Papilionoidea,Nymphalidae,,Brush-footed,Chlosyne Gorgone,Gorgone Checkerspot,"","NY, PA, WV","Ambrosia, Aster, Helianthus, Iva, Linaria, Lysimachia, Machaeranthera, Phyla"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Progne,Gray Comma,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Ribes, Ulmus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Strymon Melinus,Gray Hairstreak,"","DE, MD, MA, NJ, NY, NC, OH, PA, VA, WV","Amorpha, Ceanothus, Chamaecrista, Comptonia, Crataegus, Croton, Desmodium, Eriogonum, Frangula, Froelichia, Galactia, Hibiscus, Humulus, Lespedeza, Lupinus, Malus, Malva, Melilotus, Mentha, Phaseolus, Polygonella, Polygonum, Rhododendron, Scabiosa, Sida, Sidalcea, Tephrosia, Trifolium, Vigna, Zea"
Papilionoidea,Lycaenidae,,Gossamer-winged,Atlides Halesus,Great Purple Hairstreak,"","DE, MD, NJ, NY, NC, VA, WV","Phoradendron, Prosopis"
Papilionoidea,Pieridae,,Whites & Sulfers,Ascia Monuste,Great Southern White,"","DE, MD, NC, VA","Brassica, Cakile, Cardamine, Cleome, Lepidium, Tropaeolum"
Papilionoidea,Nymphalidae,,Brush-footed,Speyeria Cybele,Great Spangled Fritillary,"","DE, MD, NJ, NY, NC, OH, PA, VA, WV","Viola"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Faunus,Green Comma,"","MA, NJ, NY, NC, PA, RI, VA, WV","Alnus, Betula, Populus, Rhododendron, Ribes, Salix, Urtica, Vaccinium"
Hesperioidea,Hesperiidae,,Skippers,Pyrgus Centaureae,Grizzled Skipper,"","DE, MD, NJ, NY, NC, OH, PA, VA, WV","Fragaria, Potentilla, Rubus"
Papilionoidea,Nymphalidae,,Brush-footed,Asterocampa Celtis,Hackberry Emperor,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Celtis"
Papilionoidea,Nymphalidae,,Brush-footed,Chlosyne Harrisii,Harris' Checkerspot,"","CT, MD, MA, NJ, NY, OH, PA, RI, WV","Aster, Doellingeria, Solidago, Verbesina"
Papilionoidea,Lycaenidae,,Gossamer-winged,Feniseca Tarquinius,Harvester,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, WV",""
Hesperioidea,Hesperiidae,,Skippers,Staphylus Hayhurstii,Hayhurst's Scallopwing,"","DE, MD, NJ, NC, OH, PA, VA, WV","Alternanthera, Amaranthus, Chenopodium, Iresine"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Henrici,Henry's Elfin,"","CT, DE, MD, MA, NJ, NY, NC, PA, RI, VA, WV",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Incisalia Henrici,Henry's Elfin,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Baptisia, Crotalaria, Lupinus, Pinus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Hesseli,Hessel's Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, RI, VA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Mitoura Hesseli,Hessel's Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, RI, VA","Chamaecyparis"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Caryaevorum,Hickory Hairstreak,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carya, Castanea, Crataegus, Fraxinus, Juglans, Quercus"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Gracilis,Hoary Comma,"","NY","Ambrosia, Ribes, Rosa"
Hesperioidea,Hesperiidae,,Skippers,Achalarus Lyciades,Hoary Edge,"","DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amorpha, Baptisia, Bidens, Clitoria, Desmodium, Hedysarum, Lespedeza"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Polios,Hoary Elfin,"","CT, MA, NJ, NY, OH, PA, RI, VA, WV","Arctostaphylos, Epigaea"
Papilionoidea,Lycaenidae,,Gossamer-winged,Incisalia Polios,Hoary Elfin,"","CT, DE, MD, NJ, NY, NC, PA, RI","Rubus"
Hesperioidea,Hesperiidae,,Skippers,Poanes Hobomok,Hobomok Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Panicum, Poa, Tridens"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Argiolus,Holly Blue,"","","Aesculus, Ceanothus, Cornus, Quercus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Argiolus Pseudargiolus,Holly Blue,"","MD, NC, PA, VA",""
Hesperioidea,Hesperiidae,,Skippers,Erynnis Horatius,Horace's Duskywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Quercus, Wisteria"
Hesperioidea,Hesperiidae,,Skippers,Hesperia Sassacus,Indian Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Digitaria, Festuca, Panicum, Schizachyrium"
Papilionoidea,Nymphalidae,Satyridae,Browns,Coenonympha Tullia Inornata,Inornate Ringlet,"","MA, NY","Carex, Eriophorum, Oryzopsis, Poa"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Gryneus,Juniper Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, PA, RI, VA, WV",""
Hesperioidea,Hesperiidae,,Skippers,Erynnis Juvenalis,Juvenal's Duskywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Acer, Carya, Lathyrus, Quercus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Kingi,King's Hairstreak,"","DE, MD, MA, VA","Rhododendron"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Aesculapius,Lace-winged Roadside-Skipper,"","CT, MA, NC, RI, VA","Arundinaria"
Papilionoidea,Pieridae,,Whites & Sulfers,Phoebis Agarithe,Large Orange Sulphur,"","MD, NJ, NY, OH",""
Hesperioidea,Hesperiidae,,Skippers,Ancyloxypha Numitor,Least Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Leersia, Oryza, Panicum, Poa, Sacciolepis, Setaria, Spartina, Zea, Zizaniopsis"
Hesperioidea,Hesperiidae,,Skippers,Hesperia Leonardus,Leonard's Skipper,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Agrostis, Danthonia, Panicum"
Hesperioidea,Hesperiidae,,Skippers,Pompeius Verna,Little Glassywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Tridens"
Papilionoidea,Riodinidae,,Metalmarks,Calephelis Borealis,Little Metalmark,"","CT, MD, NJ, NY, PA, VA","Senecio"
Papilionoidea,Nymphalidae,,Brush-footed,Diaethria Clymena,Little Wood Satyr,"","",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Megisto Cymela,Little Wood Satyr,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Dactylis, Eremochloa, Poa, Stenotaphrum"
Papilionoidea,Pieridae,,Whites & Sulfers,Eurema Lisa,Little Yellow,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amphicarpaea, Cassia, Desmanthus, Glycine, Mimosa, Trifolium"
Hesperioidea,Hesperiidae,,Skippers,Polites Mystic,Long Dash,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carex, Echinochloa, Elytrigia, Paspalum, Phleum, Poa"
Hesperioidea,Hesperiidae,,Skippers,Urbanus Proteus,Long-Tailed Skipper,"","CT, DE, MD, MA, NJ, NY, NC, PA, RI, VA, WV","Alysicarpus, Bidens, Centrosema, Clitoria, Desmodium, Galactia, Glycine, Phaseolus, Prosopis, Pueraria, Rhynchosia, Sesbania, Vigna, Wisteria"
